,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT",
"# Error text.",,,,,,,,,,,,,
"@@ModTitle","Change Company","Unternehmen wechseln","Cambiar de empresa","Changer d'entreprise","Cambia azienda","会社を変更する","회사 변경","Zmień firmę","Mudar de empresa","Изменить компанию","更改公司","更改公司",
"@@QuitGame","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME",
"IncompatibleWithEconomyFixes","**@@ModTitle** mod is not compatible with **Economy Fixes** mod.","**@@ModTitle**-Mod ist nicht mit dem Mod **Economy Fixes** kompatibel.","El mod **@@ModTitle** no es compatible con el mod **Economy Fixes**.","Le mod **@@ModTitle** n'est pas compatible avec le mod **Economy Fixes**.","La mod **@@ModTitle** non è compatibile con la mod **Economy Fixes**.","**@@ModTitle** mod は **Economy Fixes** mod と互換性がありません。","**@@ModTitle** 모드는 **Economy Fixes** 모드와 호환되지 않습니다.","Mod **@@ModTitle** nie jest kompatybilny z modem **Economy Fixes**.","O mod **@@ModTitle** não é compatível com o mod **Economy Fixes**.","Мод **@@ModTitle** несовместим с модом **Economy Fixes**.","**@@ModTitle** mod 与 **Economy Fixes** mod 不兼容。","**@@ModTitle** mod 與 **Economy Fixes** mod 不相容。",
"IncompatibleWithEconomyFixes","Please **@@QuitGame** and then unsubscribe the broken **Economy Fixes** mod.","Bitte **@@QuitGame** und melden Sie sich dann vom defekten Mod **Economy Fixes** ab.","Por favor, **@@QuitGame** y luego cancele la suscripción al mod roto **Economy Fixes**.","Veuillez **@@QuitGame** puis vous désabonner du mod **Economy Fixes** cassé.","Per favore **@@QuitGame** e poi annulla l'iscrizione alla mod non funzionante **Economy Fixes**.","**@@QuitGame** を実行してから、壊れた **Economy Fixes** モッドの登録を解除してください。","**@@QuitGame**을 실행한 후, 망가진 **Economy Fixes** 모드를 구독 취소하세요.","Proszę **@@QuitGame** i anulować subskrypcję uszkodzonego moda **Economy Fixes**.","Por favor, **@@QuitGame** e então cancele a inscrição do mod quebrado **Economy Fixes**.","Пожалуйста, **@@QuitGame**, а затем отпишитесь от сломанного мода **Economy Fixes**.","请**@@QuitGame**然后取消订阅损坏的**Economy Fixes**模块。","請**@@QuitGame**然後取消訂閱損壞的**Economy Fixes**模組。",
,,,,,,,,,,,,,
"# Section text.",,,,,,,,,,,,,
"ChangeCompany","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle",
"ChangeThis","Change This","Dies ändern","Cambiar esto","Changer ceci","Cambia questo","これを変更","이 항목을 변경하세요","Zmień tę","Alterar isto","Изменить это","更改此项","更改此項",
"ChangeAll","Change All","Alle ändern","Cambiar todo","Tout changer","Cambia tutto","すべて変更","모두 변경","Zmień wszystko","Alterar tudo","Изменить все","全部更改","全部更改",
,,,,,,,,,,,,,
"#Test",,,,,,,,,,,,,
"LockCompany","Lock Company","Firma sperren","Bloquear la empresa","Verrouiller l'entreprise","Blocca l'azienda","会社をロックする","회사 잠금","Zablokuj firmę","Tranque a empresa","Заблокировать компанию","锁定公司","鎖定公司",
"LockAll","Lock All","Alle sperren","Bloquear todo","Tout verrouiller","Bloccare Tutto","すべてロック","모두 잠금","Zablokuj wszystko","Bloquear Tudo","Заблокировать всё","全部上锁","全部上鎖",
"UnlockAll","Unlock All","Alle entsperren","Desbloquear todo","Tout déverrouiller","Sbloccare Tutto","すべてロック解除","모두 잠금 해제","Odblokuj wszystko","Desbloquear Tudo","Разблокировать всё","全部解锁","全部解鎖",
,,,,,,,,,,,,,
"Random","Random","Zufällig","Aleatorio","Aléatoire","Casuale","ランダム","무작위","Losowo","Aleatório","Случайный","随机","隨機",
"Remove","Remove","Entfernen","Eliminar","Supprimer","Rimuovi","削除","제거","Usuń","Remover","Удалить","移除","移除",
,,,,,,,,,,,,,
"# Section tool tips for change company, one for each property type.",,,,,,,,,,,,,
"@@ClickChangeThis","To change this building to the selected company, click **@@ChangeThis**.","Um dieses Gebäude dem ausgewählten Unternehmen zuzuweisen, klicken Sie auf **@@ChangeThis**.","Para cambiar este edificio a la empresa seleccionada, haga clic en **@@ChangeThis**.","Pour modifier ce bâtiment en fonction de l'entreprise sélectionnée, cliquez sur **@@ChangeThis**.","Per sostituire questo edificio con l'azienda selezionata, fare clic su **@@ChangeThis**.","この建物を選択した会社に変更するには、**@@ChangeThis** をクリックします。","이 건물을 선택한 회사로 변경하려면 **@@ChangeThis**를 클릭하세요.","Aby zmienić ten budynek na wybraną firmę, kliknij **@@ChangeThis**.","Para alterar este edifício para a empresa selecionada, clique em **@@ChangeThis**.","Чтобы изменить принадлежность этого здания выбранной компании, нажмите **@@ChangeThis**.","要将此建筑物更改为选定的公司，请单击**@@ChangeThis**。","若要將此建築物變更為選定的公司，請按一下**@@ChangeThis**。",
"SectionTooltipCommercial","Select a commercial company by the resource it **sells**.","Wählen Sie ein Handelsunternehmen anhand der Ressource aus, die es **verkauft**.","Seleccione una empresa comercial por el recurso que **vende**.","Sélectionnez une entreprise commerciale en fonction de la ressource qu'elle **vend**.","Seleziona un'azienda commerciale in base alla risorsa che **vende**.","**販売**しているリソースによって商業会社を選択します。","**판매하는** 리소스를 기준으로 상업 회사를 선택하세요.","Wybierz firmę komercyjną na podstawie zasobu, który **sprzedaje**.","Selecione uma empresa comercial pelo recurso que ela **vende**.","Выберите коммерческую компанию по ресурсу, который она **продает**.","根据商业公司**销售**的资源来选择它。","根據商業公司**銷售**的資源來選擇它。",
"SectionTooltipCommercial","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis",
"SectionTooltipIndustrial","Select an industrial company by the resource it **produces** and the resources it **requires**.","Wählen Sie ein Industrieunternehmen anhand der von ihm **produzierten** und der von ihm **benötigten** Ressourcen aus.","Seleccione una empresa industrial por los recursos que **produce** y los recursos que **necisita**.","Sélectionnez une entreprise industrielle en fonction des ressources qu'elle **produit** et des ressources dont elle **nécessite**.","Seleziona un'azienda industriale in base alle risorse che **produce** e alle risorse di cui **richiede**.","**生産**するリソースと**要求**するリソースによって産業会社を選択します。","산업 기업을 선택할 때는 해당 기업이 **생산하는** 자원과 **필요한** 자원을 기준으로 선택해야 합니다.","Wybierz firmę przemysłową na podstawie zasobów, które **produkuje** i zasobów, których **wymaga**.","Selecione uma empresa industrial pelos recursos que ela **produz** e pelos recursos que ela **requer**.","Выберите промышленную компанию по ресурсам, которые она **производит**, и ресурсам, которые ей **требуются**.","根据工业公司**生产**的资源和**需要**的资源来选择它。","根據工業公司**生產**的資源和**需要**的資源來選擇它。",
"SectionTooltipIndustrial","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis",
"SectionTooltipOffice","Select an office company by the resource it **produces** and the resources it **requires**.","Wählen Sie ein Bürounternehmen anhand der Ressourcen aus, die es **produziert** und der Ressourcen, die es **benötigt**.","Seleccione una empresa de oficinas por los recursos que **produce** y los recursos que **necisita**.","Sélectionnez une entreprise de bureau en fonction des ressources qu'elle **produit** et des ressources dont elle **nécessite**.","Seleziona un'azienda di uffici in base alle risorse che **produce** e alle risorse di cui **richiede**.","オフィス会社は、**生産** するリソースと **要求** するリソースによって選択します。","사무실 회사는 회사가 **생산하는** 자원과 회사가 **필요로 하는** 자원을 기준으로 선택합니다.","Wybierz firmę biurową na podstawie zasobów, które **produkuje** i zasobów, których **wymaga**.","Selecione uma empresa de escritório pelos recursos que ela **produz** e pelos recursos que ela **requer**.","Выберите офисную компанию по ресурсам, которые она **производит**, и ресурсам, которые она **требует**.","根据办公公司**生产**的资源和**需要**的资源来选择办公公司。","根據辦公公司**生產**的資源和**需要**的資源來選擇辦公公司。",
"SectionTooltipOffice","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis",
"SectionTooltipStorage","Select a storage company by the resource it **stores**.","Wählen Sie ein Speicher Unternehmen anhand der Ressource aus, die es **lagert**.","Seleccione una empresa de almacenamiento según el recurso que **almacena**.","Sélectionnez une entreprise de stockage en fonction de la ressource qu'elle **stocke**.","Seleziona un'azienda di stoccaggio in base alle risorse che **negozi**.","**保管**するリソースに応じてストレージ会社を選択します。","저장하는 리소스에 따라 보관 회사를 선택하세요.","Wybierz firmę zajmującą się magazynowaniem na podstawie zasobu, który **przechowuje**.","Selecione uma empresa de armazenamento pelo recurso que ela **armazena**.","Выберите компанию по хранению по ресурсу, который она **хранит**.","根据存储的资源选择存储公司。","根據儲存的資源選擇儲存公司。",
"SectionTooltipStorage","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis",
"SectionTooltipChangeAll","To change all existing companies that are like the current company, click **@@ChangeAll**.","Um alle vorhandenen Unternehmen zu ändern, die dem aktuellen Unternehmen ähnlich sind, klicken Sie auf **@@ChangeAll**.","Para cambiar todas las empresas existentes que sean similares a la empresa actual, haga clic en **@@ChangeAll**.","Pour modifier toutes les entreprises existantes qui sont similaires à l'entreprise actuelle, cliquez sur **@@ChangeAll**.","Per modificare tutte le aziende esistenti simili all'azienda corrente, fare clic su **@@ChangeAll**.","現在の会社に類似する既存の会社をすべて変更するには、**@@ChangeAll** をクリックします。","현재 회사와 유사한 모든 기존 회사를 변경하려면 **@@ChangeAll**을 클릭하세요.","Aby zmienić wszystkie istniejące firmy podobne do obecnej firmy, kliknij **@@ChangeAll**.","Para alterar todas as empresas existentes que são semelhantes à empresa atual, clique em **@@ChangeAll**.","Чтобы изменить все существующие компании, похожие на текущую компанию, нажмите **@@ChangeAll**.","要更改所有与当前公司类似的现有公司，请单击**@@ChangeAll**。","若要變更所有與目前公司類似的現有公司，請按一下**@@ChangeAll**。",
,,,,,,,,,,,,,
"# Section tool tip for lock company.",,,,,,,,,,,,,
"SectionTooltipLockCompany","A company that is locked cannot leave the city.","Ein Unternehmen, das eingesperrt ist, kann die Stadt nicht verlassen.","Una empresa bloqueada no puede salir de la ciudad.","Une entreprise qui est verrouillée ne peut pas quitter la ville.","Un'azienda bloccata non può lasciare la città.","ロックされた会社は都市から出ることができません。","봉쇄된 회사는 도시를 떠날 수 없습니다.","Zablokowana firma nie może opuścić miasta.","Uma empresa bloqueada não pode sair da cidade.","Компания, которая заблокирована, не может покинуть город.","被封锁的公司无法离开城市。","被封鎖的公司無法離開城市。",
"SectionTooltipLockCompany","To toggle the current company between locked and unlocked, click the **lock indicator**.","Um das aktuelle Unternehmen zwischen gesperrt und entsperrt umzuschalten, klicken Sie auf die **Schlossanzeige**.","Para alternar la empresa actual entre bloqueada y desbloqueada, haga clic en el **indicador de bloqueo**.","Pour basculer l'entreprise actuelle entre verrouillée et déverrouillée, cliquez sur l'**indicateur de verrouillage**.","Per alternare lo stato dell'azienda corrente tra bloccato e sbloccato, fare clic sull'**indicatore di lucchetto**.","現在の会社のロックとロック解除を切り替えるには、**ロック インジケーター** をクリックします。","현재 회사를 잠금과 잠금 해제 간에 전환하려면 **잠금 표시기**를 클릭하세요.","Aby przełączać stan bieżącej firmy między zablokowanym a odblokowanym, kliknij **wskaźnik blokady**.","Para alternar a empresa atual entre bloqueada e desbloqueada, clique no **indicador de cadeado**.","Чтобы переключить текущую компанию между заблокированным и разблокированным состоянием, нажмите на **индикатор блокировки**.","要将当前公司在锁定和解锁之间切换，请单击**锁定指示器**。","若要將目前公司在鎖定和解鎖之間切換，請按一下**鎖定指示器**。",
"SectionTooltipLockCompany","To lock or unlock all existing companies that are like the current company, click **@@LockAll** or **@@UnlockAll**.","Um alle vorhandenen Unternehmen, die dem aktuellen Unternehmen ähneln, zu sperren oder zu entsperren, klicken Sie auf **@@LockAll** oder **@@UnlockAll**.","Para bloquear o desbloquear todas las empresas existentes que sean similares a la empresa actual, haga clic en **@@LockAll** o **@@UnlockAll**.","Pour verrouiller ou déverrouiller toutes les entreprises existantes qui ressemblent à l'entreprise actuelle, cliquez sur **@@LockAll** ou **@@UnlockAll**.","Per bloccare o sbloccare tutte le aziende esistenti simili all'azienda corrente, fare clic su **@@LockAll** o **@@UnlockAll**.","現在の会社に類似する既存の会社をすべてロックまたはロック解除するには、**@@LockAll** または **@@UnlockAll** をクリックします。","현재 회사와 유사한 모든 기존 회사를 잠그거나 잠금 해제하려면 **@@LockAll** 또는 **@@UnlockAll**을 클릭하세요.","Aby zablokować lub odblokować wszystkie istniejące firmy podobne do obecnej, kliknij **@@LockAll** lub **@@UnlockAll**.","Para bloquear ou desbloquear todas as empresas existentes que são semelhantes à empresa atual, clique em **@@LockAll** ou **@@UnlockAll**.","Чтобы заблокировать или разблокировать все существующие компании, похожие на текущую компанию, нажмите **@@LockAll** или **@@UnlockAll**.","要锁定或解锁所有与当前公司类似的现有公司，请单击**@@LockAll**或**@@UnlockAll**。","若要鎖定或解鎖所有與目前公司類似的現有公司，請按一下**@@LockAll**或**@@UnlockAll**。",
,,,,,,,,,,,,,
"# Settings.",,,,,,,,,,,,,
"SettingTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle",
,,,,,,,,,,,,,
"SettingGroupLockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany","@@LockCompany",
"@@WhenThisOptionIsClear","When this option is clear (default):","Wenn diese Option deaktiviert ist (Standard):","Cuando esta opción está desactivada (predeterminada):","Lorsque cette option est désactivée (par défaut) :","Quando questa opzione è deselezionata (impostazione predefinita):","このオプションがオフの場合（デフォルト）：","이 옵션이 선택 취소된 경우(기본값):","Gdy ta opcja jest wyłączona (domyślnie):","Quando esta opção estiver desmarcada (padrão):","Если этот параметр отключен (по умолчанию):","当此选项禁用时（默认）：","當此選項停用時（預設）：",
"@@WhenThisOptionIsSet","When this option is set:","Wenn diese Option aktiviert ist:","Cuando esta opción está activada:","Lorsque cette option est activée :","Quando questa opzione è impostata:","このオプションが設定されている場合：","이 옵션이 설정된 경우:","Gdy ta opcja jest ustawiona:","Quando esta opção estiver definida:","Если этот параметр установлен:","设置此选项后：","設定此選項後：",
,,,,,,,,,,,,,
"SettingLockAfterChangeLabel","Lock After Change","Nach Änderung sperren","Bloquear después del cambio","Verrouillage après changer","Blocco dopo la modifica","変更後にロック","변경 후 잠금","Blokada po zmianie","Bloqueio após alteração","Блокировка после изменения","更改后锁定","更改後鎖定",
"SettingLockAfterChangeDesc","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear",
"SettingLockAfterChangeDesc","- The new company is not automatically locked after the company is changed.","- Die neue Firma wird nach einem Firmenwechsel nicht automatisch gesperrt.","- La nueva empresa no se bloquea automáticamente después de cambiar la empresa.","- La nouvelle société n'est pas automatiquement verrouillée après le changement de société.","- La nuova azienda non viene bloccata automaticamente dopo il cambio di azienda.","- 会社を変更しても、新しい会社は自動的にロックされません。","- 회사를 변경한 후에는 새 회사가 자동으로 잠기지 않습니다.","- Nowa firma nie jest automatycznie blokowana po zmianie firmy.","- A nova empresa não é bloqueada automaticamente após a alteração da empresa.","- Новая компания не блокируется автоматически после смены компании.","- 公司变更后，新公司不会自动锁定。","- 公司變更後，新公司不會自動鎖定。",
"SettingLockAfterChangeDesc","- Except that the new company is still automatically locked if the current company was locked before being changed.","- Außer dass die neue Firma immer noch automatisch gesperrt wird, wenn die aktuelle Firma vor der Änderung gesperrt war.","- Excepto que la nueva empresa seguirá bloqueada automáticamente si la empresa actual estaba bloqueada antes de ser cambiada.","- Sauf que la nouvelle société est toujours automatiquement verrouillée si la société actuelle était verrouillée avant d'être modifiée.","- Tranne per il fatto che la nuova azienda viene comunque bloccata automaticamente se l'azienda attuale era bloccata prima di essere modificata.","- ただし、現在の会社が変更される前にロックされていた場合、新しい会社も自動的にロックされます。","- 단, 현재 회사가 변경되기 전에 잠겨 있었다면 새 회사도 자동으로 잠깁니다.","- Z tym wyjątkiem, że nowa firma zostanie automatycznie zablokowana, jeśli bieżąca firma została zablokowana przed zmianą.","- Exceto que a nova empresa ainda será bloqueada automaticamente se a empresa atual foi bloqueada antes de ser alterada.","- За исключением того, что новая компания по-прежнему автоматически блокируется, если текущая компания была заблокирована до изменения.","- 如果当前公司在更改之前已被锁定，则新公司仍会被自动锁定。","- 如果目前公司在更改之前已被鎖定，則新公司仍會自動鎖定。",
"SettingLockAfterChangeDesc","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet",
"SettingLockAfterChangeDesc","- The new company is automatically locked after the company is changed.","- Nach dem Firmenwechsel wird die neue Firma automatisch gesperrt.","- La nueva empresa se bloquea automáticamente después de cambiar la empresa.","- La nouvelle société est automatiquement verrouillée après le changement de société.","- Dopo aver effettuato la modifica, la nuova azienda viene automaticamente bloccata.","- 会社を変更すると、新しい会社は自動的にロックされます。","- 회사가 변경되면 새 회사는 자동으로 잠깁니다.","- Nowa firma zostanie automatycznie zablokowana po jej zmianie.","- A nova empresa é bloqueada automaticamente após a alteração da empresa.","- Новая компания автоматически блокируется после смены компании.","- 公司变更后，新公司自动锁定。","- 公司變更後，新公司自動鎖定。",
"SettingLockAfterChangeDesc","- This happens even if the current company was not locked before being changed.","- Dies geschieht auch, wenn das aktuelle Unternehmen vor der Änderung nicht gesperrt war.","- Esto sucede incluso si la empresa actual no estaba bloqueada antes del cambio.","- Cela se produit même si l'entreprise actuelle n'était pas verrouillée avant d'être modifiée.","- Ciò accade anche se la società attuale non era bloccata prima della modifica.","- これは、現在の会社が変更される前にロックされていなかった場合でも発生します。","- 이는 현재 회사가 변경되기 전에 잠겨 있지 않은 경우에도 발생합니다.","- Dzieje się tak nawet wtedy, gdy bieżąca firma nie była zablokowana przed zmianą.","- Isso acontece mesmo que a empresa atual não tenha sido bloqueada antes de ser alterada.","- Это происходит, даже если текущая компания не была заблокирована до изменения.","- 即使当前公司在变更之前未被锁定，也会发生这种情况。","- 即使目前公司在變更之前未被鎖定，也會發生這種情況。",
,,,,,,,,,,,,,
"SettingLockAllCompaniesLabel","Lock All Companies","Alle Unternehmen sperren","Bloquear todas las empresas","Verrouiller toutes les entreprises","Blocca tutte le aziende","すべての企業をロック","모든 회사 잠금","Zablokuj wszystkie firmy","Bloquear todas as empresas","Заблокировать все компании","锁定所有公司","鎖定所有公司",
"SettingLockAllCompaniesDesc","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear","@@WhenThisOptionIsClear",
"SettingLockAllCompaniesDesc","- All companies in the city are not locked.","- Alle Unternehmen in der Stadt sind nicht gesperrt.","- No todas las empresas de la ciudad están bloqueadas.","- Toutes les entreprises de la ville ne sont pas fermées.","- Non tutte le aziende della città sono bloccate.","- 市内のすべての企業がロックされているわけではありません。","- 도시에 있는 모든 회사가 폐쇄된 것은 아닙니다.","- Nie wszystkie firmy w mieście są zablokowane.","- Todas as empresas da cidade não estão bloqueadas.","- Не все предприятия в городе заперты.","- 并非所有城市公司都已锁定。","- 並非所有城市公司都已鎖定。",
"SettingLockAllCompaniesDesc","- Use the **@@LockCompany** section on the building information display to lock or unlock individual companies.","- Verwenden Sie den Abschnitt **@@LockCompany** auf der Gebäudeinformationsanzeige, um einzelne Firmen zu sperren oder zu entsperren.","- Utilice la sección **@@LockCompany** en la pantalla de información del edificio para bloquear o desbloquear empresas individuales.","- Utilisez la section **@@LockCompany** sur l'affichage des informations du bâtiment pour verrouiller ou déverrouiller des entreprises individuelles.","- Utilizzare la sezione **@@LockCompany** nella visualizzazione delle informazioni sull'edificio per bloccare o sbloccare singole aziende.","- 建物情報ディスプレイの **@@LockCompany** セクションを使用して、個々の会社をロックまたはロック解除します。","- 건물 정보 디스플레이의 **@@LockCompany** 섹션을 사용하여 개별 회사를 잠그거나 잠금 해제하세요.","- Użyj sekcji **@@LockCompany** na ekranie informacji o budynku, aby zablokować lub odblokować poszczególne firmy.","- Use a seção **@@LockCompany** no visor de informações do edifício para bloquear ou desbloquear empresas individuais.","- Используйте раздел **@@LockCompany** на информационном дисплее здания, чтобы заблокировать или разблокировать отдельные компании.","- 使用建筑信息显示屏上的 **@@LockCompany** 部分来锁定或解锁单个公司。","- 使用建築資訊顯示器上的 **@@LockCompany** 部分來鎖定或解鎖單一公司。","- 使用建築資訊顯示器上的 **@@LockCompany** 部分來鎖定或解鎖單一公司。"
"SettingLockAllCompaniesDesc","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet","@@WhenThisOptionIsSet",
"SettingLockAllCompaniesDesc","- All companies in the city are locked.","- Alle Unternehmen in der Stadt sind gesperrt.","- Todas las empresas de la ciudad están bloqueadas.","- Toutes les entreprises de la ville sont fermées.","- Tutte le aziende della città sono bloccate.","- 市内のすべての企業がロックされています。","- 도시 내의 모든 회사는 폐쇄되었습니다.","- Wszystkie firmy w mieście są zablokowane.","- Todas as empresas da cidade estão bloqueadas.","- Все предприятия в городе закрыты.","- 城里的所有公司都已封锁。","- 城裡的所有公司都已封鎖。",
"SettingLockAllCompaniesDesc","- The **@@LockCompany** section on the building information display is hidden.","- Der Abschnitt **@@LockCompany** in der Gebäudeinformationsanzeige ist ausgeblendet.","- La sección **@@LockCompany** en la pantalla de información del edificio está oculta.","- La section **@@LockCompany** sur l'affichage des informations du bâtiment est masquée.","- La sezione **@@LockCompany** nella visualizzazione delle informazioni sull'edificio è nascosta.","- 建物情報表示の **@@LockCompany** セクションは非表示になっています。","- 건물 정보 표시의 **@@LockCompany** 섹션이 숨겨져 있습니다.","- Sekcja **@@LockCompany** na ekranie informacji o budynku jest ukryta.","- A seção **@@LockCompany** na exibição de informações do edifício está oculta.","- Раздел **@@LockCompany** на информационном дисплее здания скрыт.","- 建筑信息显示上的 **@@LockCompany** 部分被隐藏。","- 建築資訊顯示上的 **@@LockCompany** 部分被隱藏。",
"SettingLockAllCompaniesDesc","- Any new companies will be locked.","- Alle neuen Unternehmen werden gesperrt.","- Cualquier empresa nueva quedará bloqueada.","- Toutes les nouvelles entreprises seront verrouillées.","- Tutte le nuove aziende saranno bloccate.","- 新しい企業はすべてロックされます。","- 새로운 회사는 모두 폐쇄됩니다.","- Wszystkie nowe firmy zostaną zablokowane.","- Todas as novas empresas serão bloqueadas.","- Любые новые компании будут заблокированы.","- 任何新公司都将被锁定。","- 任何新公司都將被鎖定。",
"SettingLockAllCompaniesDesc","- Any existing locks on individual companies will take effect again if this option is later cleared.","- Eventuell bestehende Sperren einzelner Firmen werden durch eine nachträgliche Deaktivierung dieser Option wieder wirksam.","- Cualquier bloqueo existente en empresas individuales volverá a tener efecto si posteriormente se desactiva esta opción.","- Tous les verrous existants sur les entreprises individuelles reprendront effet si cette option est ultérieurement désactivée.","- Eventuali blocchi esistenti su singole aziende torneranno ad avere effetto se questa opzione verrà successivamente deselezionata.","- このオプションを後でクリアすると、個々の企業に対する既存のロックが再び有効になります。","- 나중에 이 옵션을 해제하면 개별 회사에 대한 기존 잠금이 다시 적용됩니다.","- Wszelkie istniejące blokady nałożone na poszczególne firmy zaczną obowiązywać ponownie, gdy ta opcja zostanie później wyłączona.","- Quaisquer bloqueios existentes em empresas individuais entrarão em vigor novamente se esta opção for desmarcada posteriormente.","- Любые существующие блокировки отдельных компаний вступят в силу снова, если эта опция будет впоследствии снята.","- 如果稍后清除此选项，则对单个公司的任何现有锁定将再次生效。","- 如果稍後清除此選項，則對單一公司的任何現有鎖定將再次生效。",
,,,,,,,,,,,,,
"SettingUnlockAllCompaniesLabel","Unlock All Companies","Alle Unternehmen freischalten","Desbloquear todas las empresas","Débloquer toutes les entreprises","Sblocca tutte le aziende","すべての企業のロックを解除","모든 회사 잠금 해제","Odblokuj wszystkie firmy","Desbloqueie todas as empresas","Разблокировать все компании","解锁所有公司","解鎖所有公司",
"SettingUnlockAllCompaniesDesc","Unlock all individual companies in the city.","Schalten Sie alle gesperrten Geschäfte in der Stadt frei.","Desbloquea todas las empresas individuales de la ciudad.","Débloquez toutes les entreprises individuelles de la ville.","Sblocca tutte le singole aziende della città.","市内の個々の企業をすべてロック解除します。","도시에 있는 모든 개별 회사의 잠금을 해제합니다.","Odblokuj wszystkie pojedyncze firmy w mieście.","Desbloqueie todas as empresas individuais na cidade.","Разблокируйте все отдельные компании в городе.","解锁城市内的所有个体公司。","解鎖城市內的所有個體公司。",
,,,,,,,,,,,,,
"SettingGroupAbout","About","Über","Acerca de","À propos","Informazioni","について","정보","Informacje","Sobre","Об","关于","關於",
"SettingModVersionLabel","Version","Version","Versión","Version","Versione","バージョン情報","버전","Wersja","Versão","Версия","版本","版本",
"SettingModVersionDesc","Current version.","Aktuelle Version.","Versión actual.","Version actuelle.","Versione attuale.","現在のバージョン。","현재 버전.","Obecna wersja.","Versão Atual.","Текущая версия.","当前版本。","目前版本。",
